Название и ссылка на клиническую рекомендацию,"МКБ, к ней относящийся",Зелёные рекомендации,Жёлтые рекомендации,Красные рекомендации,Наименование и ссылка на стандарт (если есть)
https://algom.ru/post/nkr00191-Svish'_zadnego_prohoda_i_pryamoi_kishki__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,К60.3 Свищ заднего прохода,1.  УЗИ прямой кишки трансректальное и анального канала(1А)                                                                                                                                                                 2. МРТ органов малого таза(1А)                                                                                                                                                                                                     3. Аноскопия(5С),1. Ректороманоскопия(5С)                                                                                                                                                       2. Колоноскопия(5С),"1.Специфическая лабораторная диагностика СЗП в настоящее время отсутствует. Лабораторные диагностические исследования следует выполнять пациентам в ходе подготовки и планирования хирургического вмешательства для исключения сопутствующих заболеваний и состояний.                                                                                                     2. КТ органов брюшной полости(3В) - не рекомендуется для обследования пациента ввиду низкой чувствительности и специфичности                                                                                                               3.Фистулография(3С) - не рекомендуется для обследования пациента, ввиду низкой чувствительности и специфичности ",
"Запор, 2024 г. (одобрено НПС МЗ РФ)",К59.0 – Запор,1. Общий анализ крови(1\5С),1. Рентгенография толстой кишки с контрастом(0.15\5С)                                                                                                                                         2. аноректальная манометрия(5С)                                                                                                                                                                        3. Проктография(0.015\5С)                                                                                                                                                                                          4. Электромиография наружного анального сфинктера или тазового дна (0.06\5С),,https://algom.ru/post/sta00546-Standart_medicinskoi_pomosh'i_vzroslim_pri_zapore_(diagnostika_i_lechenie)?lang=rus
"Энтероколит, вызванный Clostridioides difficile (C. difficile), 2024 г. (одобрено НПС МЗ РФ)","A04.7 Энтероколит, вызванный Clostridium difficile

K52.8.0 – Колит псевдомембранозный","1. Клинический анализ крови (с определением СОЭ и лейкоцитарной формулой)(5С)

","1. Иммуноферментный анализ (ИФА) токсинов C. difficile A и B(5C)                                                                                       2. Определение ДНК возбудителя диффициального клостридиоза  Clostridium difficile и генов токсинов  в образцах фекалий методом ПЦР(5C)                                                                                                                 3. Микробиологическое (культуральное) исследование фекалий/ректального мазка на возбудитель диффициального клостридиоза (Clostridium difficile) с определением чувствительности к антибактериальным препаратам(5C)                                                                                                                               4. анализ крови биохимический общетерапевтический с определением уровня маркеров системного воспалительного ответа ( С-реактивный белок, ферритин), альбумин, электролиты (калий, натрий, кальций, хлориды)(5С)                                                                                                                                                          5. Общий анализ мочи(5С)                                                                                                                                                   6. Копрограмма(5С)                                                                                                                                                                  7.Коагулограмма (5С)                                                                                                                                                                     8. Молекулярно-биологическое исследование фекалий на ротавирусы (Rotavirus gr. A), определение РНК ротавирусов (Rotavirus gr. A) в образцах фекалий методом амплификации нуклеиновых кислот (ПЦР), молекулярно-биологическое исследование фекалий на норовирусы (Norovirus II, I генотипа), определение РНК норовирусов (Rotavirus gr. A) в образцах фекалий методом амплификации нуклеиновых кислот (ПЦР); молекулярно-биологическое исследование фекалий на микроорганизмы рода сальмонелла (Salmonella spp.); молекулярно-биологическое исследование фекалий на микроорганизмы рода шигелла (Shigella spp.); молекулярно-биологическое исследование фекалий на диарогенные эшерихии (ЕНЕС, ЕРЕС, ETEC, EAgEC, EIEC); Молекулярно-биологическое исследование фекалий на патогенные кампилобактерии (Campylobacter jejuni/coli).(5С)                                             9. Рентгенография органов брюшной полости(5С)                                                                                                      10. УЗИ органов брюшной полости(5С)                                                                                                                    11. КТ органов брюшной полости с контрастом(5С)                                                                                                      12. Колоноскопия(5С)                                                                                                                                                       ",,
"Прочие первичные грыжи брюшной стенки, 2024 г. (одобрено НПС МЗ РФ)","K42.0. Пупочная грыжа с непроходимостью без гангрены.

K42.1. Пупочная грыжа с гангреной.

K42.9. Пупочная грыжа без непроходимости или гангрены.

K43.6. Другая и неуточненная грыжа передней брюшной стенки с непроходимостью без гангрены.

K43.7. Другая и неуточненная грыжа передней брюшной стенки с гангреной.

K43.9. Другая и неуточненная грыжа передней брюшной стенки без непроходимости или гангрены



",1. Общий анализ крови(4С)                                                                                                                                                                                                                 2. УЗИ органов брюшной полости(4С)                    ,1. Общий анализ мочи(4С)                                                                                                                                                      2. Биохимический общетерапевтический анализ крови(4С)                                                                                              3. Рентгенография органов брюшной полости(5С)                                                                                                           4. КТ органов брюшной полости(3С),,
https://algom.ru/post/nkr00685-Posleoperacionnaya_ventralnaya_grizha__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"K43.0 Инцизионная грыжа с непроходимостью без гангрены

K43.1 Инцизионная грыжа с гангреной

К43.2 Инцизионная грыжа без непроходимости и гангрены.

K43.3 Парастомальная грыжа с непроходимостью без гангрены

K43.5 Парастомальная грыжа без непроходимости и гангрены

",1. Общий анализ крови(0.33\4С)                                                                                                                                                                                                                                                2. УЗИ органов брюшной полости(0.1\2В),1. Общий анализ мочи(0.33\4С)                                                                                                                                                                                                              2. Анализ крови биохимический общетерапевтический(0.33\4С)                                                                                                                            3. Рентгенография органов брюшной полости(5С)                                                                                                                                                    4. КТ органов брюшной полости(0.017\2В),,https://algom.ru/post/sta00588-Standart_medicinskoi_pomosh'i_vzroslim_pri_posleoperacionnoi_ventralnoi_grizhe_(diagnostika__lechenie_i_dispansernoe_nablyudenie)?lang=rus
"Полип толстой и прямой кишки, 2025 г. (одобрено НПС МЗ РФ)","K62.1 Полип прямой кишки                                                                                                                                                                                                                                                                  K63.5 Полип толстой кишки                                                                                                                                                                                                                                                        D37.4 Новообразование неопределенного или неизвестного характера полости рта и органов пищеварения                                                                                                                            D12 Доброкачественное новообразование ободочной кишки, прямой кишки, заднего прохода [ануса]  и анального канала:                                                                                                  D12.0 Слепой кишки                                                                                                                                                                                                                                                                           D12.1 Червеобразного отростка                                                                                                                                                                                                                                                           D12.2 Восходящей ободочной кишки                                                                                                                                                                                                                                                  D12.3 Поперечной ободочной кишки                                                                                                                                                                                                                                           D12.4 Нисходящей ободочной кишки                                                                                                                                                                                                                                              D12.5 Сигмовидной ободочной кишки                                                                                                                                                                                                                                                              D12.6 Ободочной кишки неуточненной части                                                                                                                                                                                                                                             D12.7 Ректосигмоидного соединения                                                                                                                                                                                                                                                               D12.8 Прямой кишки",1. Общий анализ крови(4С),1. Коагулограмма(4С)                                                                                                                                                               2. Анализ крови биохимический общетерапевтический(4С)                                                                                                3. Исследование кала на скрытую кровь методом иммунохроматографии                                                                                                   4. Колоноскопия(5С)                                                                                                                                                            5. Выполнение щипцовой биопсии при колоноскопии(4С)                                                                                               6.Полипоэктомия(4С)                                                                                                                                                                          7.Гистологические исследование материала полученного при полипоэктомии(1В)                                                                          8. Ректороманоскопия и сигмоидоскопия(5С)                                                                                                                                             9.Толстокишечная эндоскопия видеокапсульная (ТЭВ)(2В)                                                                                                 10. Компьютерно-томографическая колоноскопия(2В)                                                                                                       11. Ирригоскопия с двойным контрастированием(4С)                                                                                                            12. Эндо-УЗИ(1В)                                                                                                                                                                 13. МРТ толстой кишки(1В),,
"Ангиодисплазия кишечника, 2024 г. (одобрено НПС МЗ РФ)","Блок: K55 Сосудистые болезни кишечника.

K55.2 Ангиодисплазия ободочной кишки

К55.3 Ангиодисплазия тонкого кишечника

K55.8 Другие сосудистые болезни кишечника.",1. Общий анализ крови(4С),"1. Коагулограмма(4С)                                                                                                                                                                 2. Определение уровня ангиопоэтина 2 в периферической крови(3В)                                                                                  3. Колоноскопия(4С)                                                                                                                                                                       4. КТ Органов брюшной полости с контрастом(4С)                                                                                                         5. МРТ забрюшинного пространства с контрастом\или органов брюшной полости с контрастом(4С)                                   6. КТ ангиография брыжеечных сосудов, МРТ ангиография брыжеечных сосудов(5С)                                                                                                             7. Радионуклеидная ангиография(4С)                                                                                                                             8. Интестиноскопия двухбаллонная (1В)                                                                                                                     9. тонкокишечная эндоскопия видеокапсульная(ТЭВ)(1А)                                                                                              ",,
https://algom.ru/post/nkr00779-Vrozhdennie_i_priobretennie_anomalii_i_deformacii_zubochelyustnoi_sistemi__i_licevogo_cherepa__2023_g__(odobreno_NPS_MZ_RF)?lang=rus,"Q18 Другие врожденные аномалии [пороки развития] лица и шеи

K07.0 Основные аномалии размеров челюстей

-Гиперплазия нижней или верхней челюсти

-Гипоплазия нижней или верхней челюсти

-Макрогнатия нижней или верхней челюсти

-Микрогнатия нижней или верхней челюсти

K07.1 Аномалии челюстно-черепных соотношений

-Асимметрия челюсти

-Прогнатия нижней или верхней челюсти

-Ретрогнатия нижней или верхней челюсти

K07.4 Аномалия прикуса неуточненная (идиопатическая резорбция)



",,"1. Лабораторные  диагностические  исследования  рекомендуется  выполнять всем пациентам с патологией прикуса в ходе подготовки и планирования хирургического вмешательства для исключения сопутствующих заболеваний(5C)                                                                                                                                                          2.Компьютерная томография лицевого отдела черепа с или без пространственной реконструкции изображения в формате 3D(5С)
3. Магнитно-резонансная томография височно-нижнечелюстного сустава (ВНЧС)(5С) ",,
https://algom.ru/post/nkr00177-Vipadenie_pryamoi_kishki__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"Другие болезни кишечника (К62)

К62.2 Выпадение заднего прохода.

К62.3 Выпадение прямой кишки.

К63.3 Язва заднего прохода и прямой кишки.",1. Аноскопия и ректороманоскопия(4С),"1. Проктография(4С)                                                                                                                                                                2. Рентгенография органов брюшной полости с определением пассажа контрастного вещества(4С)                          3. Сфинктерометрия(4С)                                                                                                                                                   4.электромиография мышц тазового дна, стимуляционная ЭМГ (исследование проводимости по половым нервам)(4С)","Специфической лабораторной диагностики выпадения прямой кишки не существует. Лабораторные диагностические исследования следует выполнять пациентам в ходе подготовки и планирования хирургического вмешательства для исключения сопутствующих заболеваний и состояний, а также при необходимости проведения дифференциальной диагностики.

",
https://algom.ru/post/nkr00849-Grizha_pish'evodnogo_otverstiya_diafragmi__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"K44.0 Диафрагмальная грыжа с непроходимостью без гангрены

K44.1 Диафрагмальная грыжа с гангреной

K44.9 Диафрагмальная грыжа без непроходимости или гангрены",1. Рентгеноскопия пищевода и желудка с барием (2В)                                                                                                                                                                    2. ЭГДС/ФГДС(2В),1. КТ органов грудной клетки(2В)                                                                                                                                                     2. КТ органов брюшной полости(2В)                                                                                                                                3. Манометрия пищевода(1В)                                                                                                                                            4. Внутрипищеводная РН-метрия(1В)                                                                                                                           5. МРТ органов брюшной полости(2В),"Лабораторные исследования не имеют диагностического значения в случае неосложненной ГПОД. Они назначаются при подготовке пациента к операции. Объем лабораторных исследований зависит от наличия у пациента сопутствующих заболеваний, предполагаемого вида анестезии и метода хирургического лечения.                                                                                                                                                                                                                                                                           1. Обзорная рентгенография органов грудной клетки - не рекомендуется использовать как метод диагностики ГПОД (5С)                         ",
https://algom.ru/post/nkr00179-Divertikulyarnaya_bolezn__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"Блок: Другие болезни кишечника K55-K63.

Коды:

К57.0 Дивертикулярная болезнь тонкой кишки с прободением и абсцессом

K57.1 Дивертикулярная болезнь тонкой кишки без прободения и абсцесса

K57.2 Дивертикулярная болезнь толстой кишки с прободением и абсцессом

K57.3 Дивертикулярная болезнь толстой кишки без прободения и абсцесса

К57.4 Дивертикулярная болезнь и тонкой, и толстой кишки с прободением и абсцессом

К57.5 Дивертикулярная болезнь и тонкой, и толстой кишки без прободения или абсцесса

К57.8 Дивертикулярная болезнь кишечника, неуточненной части, с прободением и абсцессом

К57.9 Дивертикулярная болезнь кишечника, неуточненной части, без прободения и абсцесса



",1. Общий анализ крови(4С)                                                                                                                                                                                                               2. УЗИ Органов брюшной полости(2В),1.  Анализ крови биохимический общетерапевтический(4С)                                                                                             2. С- реактивный белок(2В)                                                                                                                                                3. КТ органов брюшной полости с контрастом(2В)                                                                                                                    4. КТ органов малого таза с контрастом(2В)                                                                                                                          5. МРТ органов брюшной полости(2В)                                                                                                                                    6. Колоноскопия(3В)                                                                                                                                                           7. Водородный дыхательный тест с углеводной нагрузкой(4С),,
https://algom.ru/post/nkr00877-ZHelchnokamennaya_bolezn__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"K80 – Желчнокаменная болезнь (холелитиаз):

К80.0 – Камни желчного пузыря с острым холециститом

K80.1 – Камни желчного пузыря с другим холециститом

K80.2 – Камни желчного пузыря без холецистита

K80.3 – Камни желчного протока с холангитом

K80.4 – Камни желчного пузыря с холециститом

K80.5 – Камни желчного протока без холецистита и холангита

K80.8 – Другие формы холелитиаза

К82.0 – Закупорка желчного пузыря

К82.1 – Водянка желчного пузыря

К82.2 – Прободение желчного пузыря

К82.3 – Свищ желчного пузыря

К82.4 – Холестероз желчного пузыря

К82.8 – Другие уточненные болезни желчного пузыря

К83.1 – Закупорка желчного протока

К83.3 – Свищ желчного протока

К83.8 – Другие уточненные болезни желчевыводящих путей

К87.0 – Поражение желчного пузыря и желчевыводящих путей при болезнях, классифицированных в других рубриках

К91.5 – Постхолецистэктомический синдром



",1. Общий анализ крови(5С)                                                                                                                                                                                                                 2. УЗИ органов брюшной полости(5С),"1. Биохимический общетерапевтический анализ крови с определением активности  ЩФ(щелочная фосфотаза), гамма-глютамилтрансферазы (ГГТ), уровня связанного (конъюгированного) билирубина и активности панкреатической амилазы в крови(5С)                                                                                                                               2.С- реактивный белок(5С)                                                                                                                                              3. Магнитно-резонансная холангиопанкреатография (МРХПГ)(2В)                                                                            4. Эндосонография (эндоУЗИ) панкреатобилиарной зоны(5С)                                                                                                   5. КТ органов брюшной полости с в\в контрастом(4С)                                                                                                     6. МРТ органов брюшной полости(5С)

",Эндоскопическая ретроградная холангиопанкреатография (ЭРХПГ)(5С),
"Кисты челюстно-лицевой области и шеи, 2025 г. (одобрено НПС МЗ РФ)","К04.8 Корневая киста

К09 Кисты области рта, не классифицированные в других рубриках

К09.0 Кисты, образовавшиеся в процессе формирования зубов

К09.1 Ростовые (неодонтогенные) кисты области рта

К09.2 Другие кисты челюстей

К09.8 Другие уточненные кисты области рта, не классифицированные в других рубриках

К09.9 Киста области рта неуточненная

К11.6 Мукоцеле слюнной железы

Q18.0 Пазуха, фистула и киста жаберной щели

Q18.1 Преаурикулярная пазуха и киста

Q18.2 Другие пороки развития жаберной щели

Q18.8 Другие уточненные пороки развития лица и шеи

L72.0 Эпидермальная киста



",,"1. Патолого-анатомическое исследование биопсийного (операционного) материала, для исключения злокачественного вида образования(5С)                                                                                                                              2. Риноскопия (5С)                                                                                                                                                             3. Прицельная внутриротовая контактная рентгенография(5С)                                                                                     4.Ортопантомография(ОПТГ)(5С)                                                                                                                                5. Рентгенография нижней челюсти(5С)                                                                                                                           6. Рентгенография придаточных пазух носа(5С)                                                                                                          7.Конусно-лучевая томография (КЛКТ) (5С)                                                                                                                8.Компьютерная томография челюстно-лицевой области(5С)                                                                                            9. Компьютерная томография придаточных пазух носа(5С)                                                                                        10.Магнитно-резонансная томография мягких тканей(5С)                                                                                                11.УЗИ мягких тканей(5С)                                                                                                                                                     12.Тонкоигольная аспирационная биопсия по УЗ-контролем(5С)                                                                                                13. Гистологическое исследование биоптата(5С)                                                                                                       14. Сиалография                                                                                                                                                                15. КТ ангиография",,
https://algom.ru/post/nkr00711-Alkogolnaya_bolezn_pecheni__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"K70.0 – Алкогольная жировая дистрофия печени;

K70.1 – Алкогольный гепатит;

K70.2 – Алкогольный фиброз и склероз печени;

K70.3 – Алкогольный цирроз печени;

K70.4 – Алкогольная печеночная недостаточность;

K70.9 – Алкогольная болезнь печени неуточненная



",,"1. Общий(Клинический) анализ крови(5С)                                                                                                                        2. Биохимический общетерапевтический анализ крови(5С)                                                                                            3. Альбумин, прямой билирубин, щелочная фосфатаза(ЩФ), гамма-глутамилтранспептидаза (ГГТ), лактатдегидрогеназа (ЛДГ)(5С)                                                                                                                                        4. Коагулограмма(4С)                                                                                                                                                     5.  Общий анализ мочи(4С)                                                                                                                                                                6. Исследование маркеров вирусных гепатитов (определение антител класса M к вирусу гепатита A (anti-HАV IgM), определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови, определение суммарных антител классов M и G (anti-HCV IgG и anti-HCV IgM) к вирусу гепатита C (Hepatitis C virus) в крови, определение антител к вирусу гепатита D (Hepatitis D virus) в крови, определение антител класса M (anti-HEV IgM) к вирусу гепатита Е (Hepatitis E virus) в крови)(5С)                                                       7. Насыщение трансферрина железом(НТЖ)(5С)                                                                                                                                                                8.  Исследование иммуноглобулинов (Ig) А, M, G (5С)                                                                                                          9. УЗИ органов брюшной полости, УЗДГ сосудов печени(5С)                                                                                      10. ЭГДС(5С)                                                                                                                                                                11. ЭКГ(4С)                                                                                                                                                                            12. КТ органов брюшной полости с контрастом внутривенным(5С)                                                                                                                                      13. МРТ органов брюшной полости с внутривенным контрастом(5С)                                                                            14. Пункционная биопсия печени, гистологическое исследование биоптата(5С)                                                      15. Фибротест, Фиброметр, определение  индекса APRI, определение индекса PGAA, (5С)                
16. Эластометрия печени(1С)
", ,
